keywords,title,url,references,citation
Lemmatization,An interpretation of lemmatization and stemming in natural language processing,https://www.researchgate.net/profile/Siddhartha-B-S/publication/348306833_An_Interpretation_of_Lemmatization_and_Stemming_in_Natural_Language_Processing/links/6048467f299bf1e078696a3a/An-Interpretation-of-Lemmatization-and-Stemming-in-Natural-Language-Processing.pdf,Not available,Not available
Lowercase Conversion,Survey on profiling age and gender of text authors,https://www.sciencedirect.com/science/article/pii/S095741742200536X,"HaCohen-Kerner, Y. (2022). Survey on profiling age and gender of text authors. Expert Systems With Applications, 199, 117140. https://doi.org/10.1016/j.eswa.2022.117140",HaCohen-Kerner (2022)
Lowercase Conversion,A review of tools and techniques for preprocessing of textual data,https://link.springer.com/chapter/10.1007/978-981-15-6876-3_31,"Kathuria, A., Gupta, A., & Singla, R. K. (2020). A review of tools and techniques for preprocessing of textual data. Advances in Intelligent Systems and Computing, 407–422. https://doi.org/10.1007/978-981-15-6876-3_31",Kathuria et al. (2020)
Numbers to Words Conversion,Conversion is the way of word formation,https://elibrary.ru/item.asp?id=44519855,"Kotliarova, K., & M, T. (2021). PECULIARITIES OF CONVERSION FUNCTIONING AS a PRODUCTIVE WAY OF WORD-FORMATION IN ENGLISH LITERATURE. Scientific Bulletin Melitopol State Pedagogical, 148–153. https://doi.org/10.33842/22195203/2021/26/148/153",Kotliarova and M (2021)
Numbers to Words Conversion,The semantics of conversion nouns and-ing nominalizations: A quantitative and theoretical perspective,https://www.cambridge.org/core/journals/journal-of-linguistics/article/semantics-of-conversion-nouns-and-ing-nominalizations-a-quantitative-and-theoretical-perspective/6DB1428BE3084FFE0EEF01BF0FD6F942,"Lieber, R., & Plag, I. (2021). The semantics of conversion nouns and -ing nominalizations: A quantitative and theoretical perspective. Journal of Linguistics, 58(2), 307–343. https://doi.org/10.1017/s0022226721000311",Lieber and Plag (2021)
Punctuation Count,Pull out all the stops: Textual analysis via punctuation sequences,https://www.cambridge.org/core/journals/european-journal-of-applied-mathematics/article/pull-out-all-the-stops-textual-analysis-via-punctuation-sequences/B99D15C41973F50343A389EAECA68EB7,"Darmon, A. N. M., Bazzi, M., Howison, S. D., & Porter, M. A. (2020). Pull out all the stops: Textual analysis via punctuation sequences. European Journal of Applied Mathematics, 32(6), 1069–1105. https://doi.org/10.1017/s0956792520000157",Darmon et al. (2020)
Punctuation Count,Is Arabic punctuation rule-governed?,https://www.tandfonline.com/doi/abs/10.1080/23311983.2024.2303818,"Yagi, S., Fareh, S., Elnagar, A., Balajeed, M., El-Mneizel, A., & Al-Badawi, M. (2024). Is Arabic punctuation rule-governed? Cogent Arts and Humanities, 11(1). https://doi.org/10.1080/23311983.2024.2303818",Yagi et al. (2024)
Punctuation Removal,Pull out all the stops: Textual analysis via punctuation sequences,https://www.cambridge.org/core/journals/european-journal-of-applied-mathematics/article/pull-out-all-the-stops-textual-analysis-via-punctuation-sequences/B99D15C41973F50343A389EAECA68EB7,"Darmon, A. N. M., Bazzi, M., Howison, S. D., & Porter, M. A. (2020). Pull out all the stops: Textual analysis via punctuation sequences. European Journal of Applied Mathematics, 32(6), 1069–1105. https://doi.org/10.1017/s0956792520000157",Darmon et al. (2020)
Punctuation Removal,Capitalization and punctuation restoration: a survey,https://link.springer.com/article/10.1007/s10462-021-10051-x,"Păiş, V., & Tufiş, D. (2021). Capitalization and punctuation restoration: a survey. Artificial Intelligence Review, 55(3), 1681–1722. https://doi.org/10.1007/s10462-021-10051-x",Păiş and Tufiş (2021)
RandomForestClassifier,Disease predictor using random forest classifier,https://ieeexplore.ieee.org/abstract/document/9726023/,"Paul, S., Ranjan, P., Kumar, S., & Kumar, A. (2022). Disease predictor using random forest classifier. 2022 International Conference for Advancement in Technology (ICONAT), 1–4. https://doi.org/10.1109/iconat53423.2022.9726023",Paul et al. (2022)
RandomForestClassifier,Machine learning technique to prognosis diabetes disease: Random forest classifier approach,https://link.springer.com/chapter/10.1007/978-981-16-2164-2_19,"Palimkar, P., Shaw, R. N., & Ghosh, A. (2021). Machine Learning Technique to Prognosis Diabetes Disease: Random Forest Classifier approach. In Lecture notes in networks and systems (pp. 219–244). https://doi.org/10.1007/978-981-16-2164-2_19",Palimkar et al. (2021)
Sentence Count Calculation,Comparative assessment of extractive summarization: textrank tf-idf and lda,https://www.bhu.ac.in/research_pub/jsr/Volumes/JSR_65_01_2021/40.pdf,"Rani, U., & Bidhan, K. (2021). Comparative assessment of extractive summarization: TextRank, TF-IDF and LDA. Journal of Scientific Research, 65(01), 304–311. https://doi.org/10.37398/jsr.2021.650140",Rani and Bidhan (2021)
Sentence Count Calculation,Semantic similarity computing model based on multi model fine-grained nonlinear fusion,https://ieeexplore.ieee.org/abstract/document/9314168/,"Zhang, P., Huang, X., Wang, Y., Jiang, C., He, S., & Wang, H. (2021). Semantic Similarity Computing model based on multi model Fine-Grained Nonlinear Fusion. IEEE Access, 9, 8433–8443. https://doi.org/10.1109/access.2021.3049378",Zhang et al. (2021)
Stopword Removal,Stopword identification and removal techniques on tc and ir applications: A survey,https://ieeexplore.ieee.org/abstract/document/9074166/,"Ladani, D. J., & Desai, N. P. (2020). Stopword Identification and Removal Techniques on TC and IR applications: A Survey. 2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS), 466–472. https://doi.org/10.1109/icaccs48705.2020.9074166",Ladani and Desai (2020)
Stopword Removal,The effect of stop word removal and stemming in datapreprocessing,https://search.proquest.com/openview/7d09e95c5e0d540c8765cf0d41a7ce39/1?pq-origsite=gscholar&cbl=2031963,"Pandey, A. K., & Siddiqui, T. J. (2009). Evaluating effect of stemming and stop-word removal on Hindi text retrieval. In Springer eBooks (pp. 316–326). https://doi.org/10.1007/978-81-8489-203-1_31",Pandey and Siddiqui (2009)
Text Length Calculation,Minimizing variability in language sampling analysis: A practical way to calculate text length and time variability and measure reliable change when assessing clients,https://journals.lww.com/topicsinlanguagedisorders/fulltext/2020/04000/minimizing_variability_in_language_sampling.5.aspx,"Spencer, E., Bryant, L., & Colyvas, K. (2020). Minimizing variability in language sampling analysis. Topics in Language Disorders, 40(2), 166–181. https://doi.org/10.1097/tld.0000000000000212",Spencer et al. (2020)
Text Length Calculation,Measurement of text similarity: a survey,https://www.mdpi.com/2078-2489/11/9/421,"Wang, J., & Dong, Y. (2020). Measurement of text similarity: a survey. Information, 11(9), 421. https://doi.org/10.3390/info11090421",Wang and Dong (2020)
Tokenization,Fast wordpiece tokenization,https://arxiv.org/abs/2012.15524,"Song, X., Salcianu, A., Song, Y., Dopson, D., & Zhou, D. (2021). Fast WordPiece tokenization. Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing. https://doi.org/10.18653/v1/2021.emnlp-main.160",Song et al. (2021)
Tokenization,Tokenization,https://www.emerald.com/insight/content/doi/10.1108/978-1-78973-865-020201006,"Coyne, R. (2025). Tokenization. In Routledge eBooks (pp. 89–99). https://doi.org/10.4324/9781003535751-6",Coyne (2025)
Unique Words Count,The counting principle makes number words unique,https://www.degruyterbrill.com/document/doi/10.1515/cllt-2023-0105/html,"Ariel, M., & Levshina, N. (2024). The counting principle makes number words unique. Corpus Linguistics and Linguistic Theory, 21(1), 173–199. https://doi.org/10.1515/cllt-2023-0105",Ariel and Levshina (2024)
Unique Words Count,The Words that Count,https://utppublishing.com/doi/abs/10.1558/jrds.40339,"Knezevic, M. (2013). Words count. Index on Censorship, 42(4), 155–156. https://doi.org/10.1177/0306422013512971",Knezevic (2013)
Uppercase Words Count,The influence of uppercase letter location on typing multiword passphrases,https://www.jbe-platform.com/content/journals/10.1075/ml.24014.gow,"Gow, K., Taikh, A., & Islam, M. (2024). The influence of uppercase letter location on typing multiword passphrases. The Mental Lexicon, 19(1), 161–169. https://doi.org/10.1075/ml.24014.gow",Gow et al. (2024)
Uppercase Words Count,Knowledge graph and deep neural network for extractive text summarization by utilizing triples,https://aclanthology.org/2020.fnp-1.22/,"Jing, B., You, Z., Yang, T., Fan, W., & Tong, H. (2021). Multiplex Graph neural network for extractive text summarization. Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing. https://doi.org/10.18653/v1/2021.emnlp-main.11",Jing et al. (2021)
Word Count Calculation,Calculating the relative importance of multiple regression predictor variables using dominance analysis and random forests,https://onlinelibrary.wiley.com/doi/abs/10.1111/lang.12518,"Mizumoto, A. (2022). Calculating the relative importance of multiple regression predictor variables using dominance analysis and random forests. Language Learning, 73(1), 161–196. https://doi.org/10.1111/lang.12518",Mizumoto (2022)
Word Count Calculation,How textual quality of online reviews affect classification performance: a case of deep learning sentiment analysis,https://link.springer.com/article/10.1007/s00521-018-3865-7,"Li, L., Goh, T., & Jin, D. (2018). How textual quality of online reviews affect classification performance: a case of deep learning sentiment analysis. Neural Computing and Applications, 32(9), 4387–4415. https://doi.org/10.1007/s00521-018-3865-7",Li et al. (2018)
Word Frequency Counting,"Collocational processing in L1 and L2: The effects of word frequency, collocational frequency, and association",https://onlinelibrary.wiley.com/doi/abs/10.1111/lang.12427,"Öksüz, D., Brezina, V., & Rebuschat, P. (2020). Collocational processing in L1 and L2: the effects of word frequency, collocational frequency, and association. Language Learning, 71(1), 55–98. https://doi.org/10.1111/lang.12427",Öksüz et al. (2020)
Word Frequency Counting,Word frequency and sentiment analysis of twitter messages during coronavirus pandemic,https://arxiv.org/abs/2004.03925,"Singh, A., & Tanwar, H. (2020). Twitter Sentiment Analysis during Covid -19 Pandemic. International Journal for Research in Engineering Application & Management, 291–293. https://doi.org/10.35291/2454-9150.2020.0300",Singh and Tanwar (2020)
